"id","owner","secret","server","farm","title","ispublic","lat","lon","locality","county","region","country"
26265300153,"73293249@N00","fb9f2759c2",7680,8,"Prince's ""Letitgo""... and ""Solo"" (!)",1,46.03085,7.114825,"Champex","Entremont","Canton of Valais","Switzerland"
26265294723,"73293249@N00","ebe723971d",7741,8,"",1,46.03065,7.114277,"Champex","Entremont","Canton of Valais","Switzerland"
26776075552,"73293249@N00","41e65c6c8b",7446,8,"",1,46.028561,7.117438,"Champex","Entremont","Canton of Valais","Switzerland"
26265277493,"73293249@N00","61406142f6",7777,8,"",1,46.028216,7.11888,"Champex","Entremont","Canton of Valais","Switzerland"
26835698346,"73293249@N00","64265d3906",7393,8,"Lac de Champex",1,46.029,7.117247,"Champex","Entremont","Canton of Valais","Switzerland"
26835696226,"73293249@N00","dcf21a032a",7490,8,"",1,46.02905,7.117244,"Champex","Entremont","Canton of Valais","Switzerland"
26265264153,"73293249@N00","debea9b73c",7623,8,"",1,46.029686,7.11668,"Champex","Entremont","Canton of Valais","Switzerland"
26722332066,"84011918@N07","bb51725563",1614,2,"Snowy Val d'Anniviers",1,46.197972,7.582716,"Saint-Jean","Sierre","Canton of Valais","Switzerland"
26052926063,"13459110@N00","3b6f68b06c",1617,2,"IMG_6729",1,47.376938,8.539366,"Zurich","Zurich","Canton of Zurich","Switzerland"
26591204621,"13459110@N00","1f6afc0d01",1507,2,"IMG_6728",1,47.377394,8.538666,"Zurich","Zurich","Canton of Zurich","Switzerland"
26544889615,"48470761@N07","d37ea96ec0",1441,2,"Erik Harstrom-Winter 2016-91",1,46.324186,6.25635,"Tougues","Upper Savoy","Rhone-Alpes","France"
26430738475,"34369240@N08","531d89f3bb",1626,2,"serie IPhone - in auto",1,46.415783,9.23208,"S Giacomo","Moesa District","Canton of Graubunden","Switzerland"
26303872511,"64067043@N08","c3dd0b8770",1451,2,"Alps view from Ravoire",1,46.090026,7.023275,"","Martigny","Canton of Valais","Switzerland"
25781450974,"64932432@N00","7be9614d01",1633,2,"Baden bei Zürich, Limmat",1,47.475355,8.310309,"Ennetbaden","Canton of Baden","Canton of Aargau","Switzerland"
26319448306,"43426745@N03","0fdc8a8bd9",1682,2,"Fischotter zooh! 2",1,47.384418,8.571395,"Zurich","Zurich","Canton of Zurich","Switzerland"
25739084224,"43426745@N03","e9089341ae",1672,2,"Fischotter zooh!",1,47.384418,8.571395,"Zurich","Zurich","Canton of Zurich","Switzerland"
26171064971,"119411077@N03","0bb81f4d7c",1468,2,"Rock & stream",1,46.804539,6.136744,"Bief-du-Fourg","Jura","Franche-Comte","France"
25916738366,"91287070@N00","9ef995446d",1668,2,"DJI_0167-signed",1,46.213691,6.632188,"La Grande Terche","Upper Savoy","Rhone-Alpes","France"
25309954494,"91287070@N00","402d1d22ee",1690,2,"DJI_0168-signed",1,46.213177,6.632238,"La Grande Terche","Upper Savoy","Rhone-Alpes","France"
25821863482,"91287070@N00","0174b0c221",1474,2,"DJI_0170-signed",1,46.213983,6.632283,"La Grande Terche","Upper Savoy","Rhone-Alpes","France"
25847663191,"91287070@N00","51331911f0",1455,2,"DJI_0171-signed",1,46.214522,6.631552,"La Grande Terche","Upper Savoy","Rhone-Alpes","France"
25908743356,"66647015@N06","d458543848",1526,2,"Croce",1,46.190556,6.471923,"Onnion","Upper Savoy","Rhone-Alpes","France"
